date,Atlantic,Indian,Pacific,Arctic
2015-09-24T00:00:01,27.3335339623248,30.290390809118826,29.584783913187984,5.576717767862287
2015-09-27T00:15:00,27.09665140365541,30.20499992370605,29.3349389859021,7.420238207141022
2015-10-01T00:00:01,27.59874920399013,28.41381389591754,28.75777995699808,6.894999980926514
2015-10-04T00:20:01,26.58683490270716,30.0049991607666,29.03999900817871,7.38882732396848
2015-10-06T00:10:01,27.832512870829373,29.55251328751848,29.66424489437512,7.20553608231438
2015-10-09T00:05:01,27.75774410973988,30.149991168734665,29.77999877929689,7.388704317714025
2015-10-11T00:25:01,27.6327256373238,29.9621251949112,29.05500030517578,7.31985293283592
2015-10-12T00:35:00,28.929372187139503,29.46173816949648,29.178357097080777,6.194999694824219
2015-10-15T00:05:01,27.443016310059587,29.883345199145857,29.417785864091275,6.988955440618463
2015-10-17T00:00:01,27.20934914405086,28.51999855041504,29.47645216210681,5.802943451225805
2015-10-23T00:20:00,26.776184231566383,27.71999931335449,28.666150528742985,6.25499963760376
2015-10-26T00:50:00,27.05411409512135,28.763337046728164,29.11623597822137,6.261787650352605
2015-10-28T00:35:00,26.87760975433171,29.83313006811476,29.010600106916943,6.275007921645434
2015-10-29T00:15:00,26.44999885559082,30.73217539260133,29.18049874156181,6.450197499889679
2015-10-30T00:25:01,26.61700116903589,29.69570471646572,28.208899462491203,6.537972316042366
2015-11-03T00:00:00,26.29058123377757,29.97523771202003,28.174999237060547,5.526005416215429
2015-11-04T00:40:01,26.82565545808837,29.79500007629404,28.88240145559705,6.029999732971191
2015-11-05T00:20:01,26.14499855041512,29.49119887709151,28.03499984741211,6.034999847412109
2015-11-07T00:10:01,26.14999919247858,28.984998703003008,28.846924570867365,5.005000114440918
2015-11-08T00:20:00,26.335004906739417,28.88500022888184,28.506661476525395,6.369999885559082
2015-11-13T00:35:01,26.30513620727802,29.809999465942383,28.4449996948242,6.304999828338623
2016-02-01T00:35:00,22.229999542236328,30.541546303039382,27.795000076293945,5.25
2016-02-08T00:40:01,22.78499984741211,29.26499938964844,27.189998626708984,5.1649999618531215
2016-04-03T00:00:00,22.761863634874214,31.174117019901367,27.731335398153565,5.132841332568432
2016-04-06T00:15:01,21.972722915257336,31.55733237346161,27.979999542236328,5.17892682817346
2016-04-10T00:00:01,22.77403169499555,30.40251223589923,27.914227901853184,5.595749926832796
2016-04-28T01:00:01,23.46053265038387,30.23798604926548,27.5535031245104,5.239553007957502
2016-04-30T00:55:01,23.475915959486027,31.756093921639017,28.39499855041504,5.764315363888867
2016-05-01T00:10:01,23.322138692886288,31.02530158487532,28.05352839794514,5.239804085395914
2016-05-02T00:45:01,24.180399425051856,31.58404210176552,27.88346659656653,5.232700480056583
2016-05-06T00:25:00,23.274857380014296,30.98123278544822,28.130948958342422,5.231702612897033
2016-05-07T01:00:01,23.72319514805021,30.488238486124587,27.485091917614493,5.600448160194434
2016-05-14T01:00:01,24.402456911206336,28.51999855041504,28.539972506381464,5.388914623922148
2016-05-16T00:55:01,23.965000152587887,30.195731291769988,28.504264935376334,5.318008497163847
2016-05-17T00:10:01,23.97999954223632,30.13104041129755,27.348750896346555,5.298601907308553
2016-05-20T00:35:01,23.631412933597893,30.02446466431052,26.539999008178707,5.459015334862965
2016-05-23T01:00:01,23.659999847412102,30.09969463790659,27.727519341814663,6.230000019073486
2016-05-25T00:50:00,23.569576007321896,30.257007205340923,28.085743980251376,5.105159434642067
2016-05-26T00:05:01,24.584275993692927,29.309999465942383,28.35000038146968,5.241532246017359
2016-06-01T00:55:01,24.88102641895436,29.97999954223632,28.049933597559864,5.133382094949778
2016-06-02T00:10:01,24.692684443611977,31.023915076093456,27.7561686411996,5.766702667428121
2016-06-05T00:35:01,26.431521778181327,30.19311861124097,28.386975394495643,5.639056956364529
2016-06-06T00:00:00,26.326072699431244,30.3212599835738,28.102298170586867,5.238327906582271
2016-06-08T01:00:01,25.135423406925447,30.29118768676604,28.791038882792662,5.387892547327321
2016-06-09T00:15:00,25.2093575756348,30.851751551825227,28.88197281813029,5.9825335763600345
2016-06-10T00:50:00,25.358638926849256,30.856960841529343,29.54798888153754,6.1142997086713855
2016-06-11T00:05:01,26.105183715798045,31.3333571434021,28.65999984741211,6.02376085442772
2016-06-13T00:00:01,25.60125069795406,30.35252618472041,27.779998779296875,6.17969829765906
2016-06-14T00:30:01,25.22462914204592,28.849998474121094,27.70702559357351,6.262445946061892
2016-06-16T00:20:01,25.27627128868274,30.03499984741211,28.12643494429412,6.130000114440918
2016-06-17T00:55:01,25.97275581995696,30.649584600566826,27.959999084472656,6.583109325736811
2016-06-18T00:10:01,25.64499855041503,31.13306987623054,27.76000022888184,5.3264829071979305
2016-06-19T00:45:01,25.52366727488853,28.93249988555908,27.78999900817871,6.547230554702476
2016-06-21T00:35:01,25.13178381174111,29.008995834152145,27.39999961853028,6.607694674594439
2016-06-23T00:25:00,24.83357510405274,28.954999923705994,27.458992614853155,7.390661740677365
2016-06-24T01:00:01,24.76522700155897,28.07499885559082,27.88999938964844,6.909999847412109
2016-06-27T00:05:01,25.13147600461114,31.000000000000043,28.69133469866089,8.38340036556264
2016-06-29T00:00:01,24.33345050353648,29.79185948538973,28.91612130157419,7.64043504937238
2016-06-30T00:30:01,23.81999969482422,28.225000381469727,27.729999542236328,5.197652046120959
2016-07-02T00:20:01,24.674999237060547,28.775178190671973,29.569331900138835,5.787533334434088
2016-07-03T00:55:01,24.82817454272388,28.80432824450862,28.8048424884397,5.880000114440931
2016-07-05T00:45:01,25.52595991856473,29.13851148600641,29.33330935196911,8.551722960891107
2016-07-08T00:00:00,25.63334440161348,28.604999542236328,27.94467198551149,7.416234972911905
2016-07-09T00:25:00,25.01300195451841,29.53999900817871,28.849998474121094,6.822965086701735
2016-07-10T01:00:01,25.357417462496688,29.239999771118164,29.01556633429461,6.799141559289047
2016-07-12T00:50:00,25.15999984741212,29.04245479781749,28.05497813124016,5.080720692392736
