,Time,SST,Latitude,Longitude
96,2008-04-06 00:00:00,14.829987,39.0625,5.0625
97,2008-04-07 00:00:00,15.139984,39.0625,5.0625
98,2008-04-08 00:00:00,,39.0625,5.0625
99,2008-04-09 00:00:00,,39.0625,5.0625
100,2008-04-10 00:00:00,,39.0625,5.0625
101,2008-04-11 00:00:00,,39.0625,5.0625
102,2008-04-12 00:00:00,14.649994,39.0625,5.0625
103,2008-04-13 00:00:00,14.769989,39.0625,5.0625
104,2008-04-14 00:00:00,15.570007,39.0625,5.0625
105,2008-04-15 00:00:00,15.070007,39.0625,5.0625
106,2008-04-16 00:00:00,,39.0625,5.0625
107,2008-04-17 00:00:00,,39.0625,5.0625
108,2008-04-18 00:00:00,15.380005,39.0625,5.0625
109,2008-04-19 00:00:00,15.389984,39.0625,5.0625
110,2008-04-20 00:00:00,15.72998,39.0625,5.0625
111,2008-04-21 00:00:00,15.660004,39.0625,5.0625
112,2008-04-22 00:00:00,15.829987,39.0625,5.0625
113,2008-04-23 00:00:00,15.769989,39.0625,5.0625
114,2008-04-24 00:00:00,16.419983,39.0625,5.0625
115,2008-04-25 00:00:00,16.789978,39.0625,5.0625
116,2008-04-26 00:00:00,,39.0625,5.0625
117,2008-04-27 00:00:00,17.269989,39.0625,5.0625
118,2008-04-28 00:00:00,17.48999,39.0625,5.0625
119,2008-04-29 00:00:00,,39.0625,5.0625
120,2008-04-30 00:00:00,17.109985,39.0625,5.0625
121,2008-05-01 00:00:00,17.389984,39.0625,5.0625
122,2008-05-02 00:00:00,17.399994,39.0625,5.0625
123,2008-05-03 00:00:00,16.449982,39.0625,5.0625
124,2008-05-04 00:00:00,,39.0625,5.0625
125,2008-05-05 00:00:00,18.75998,39.0625,5.0625
126,2008-05-06 00:00:00,18.579987,39.0625,5.0625
127,2008-05-07 00:00:00,18.019989,39.0625,5.0625
128,2008-05-08 00:00:00,,39.0625,5.0625
129,2008-05-09 00:00:00,,39.0625,5.0625
130,2008-05-10 00:00:00,,39.0625,5.0625
131,2008-05-11 00:00:00,,39.0625,5.0625
132,2008-05-12 00:00:00,,39.0625,5.0625
133,2008-05-13 00:00:00,17.380005,39.0625,5.0625
134,2008-05-14 00:00:00,17.679993,39.0625,5.0625
135,2008-05-15 00:00:00,18.00998,39.0625,5.0625
136,2008-05-16 00:00:00,,39.0625,5.0625
137,2008-05-17 00:00:00,,39.0625,5.0625
138,2008-05-18 00:00:00,,39.0625,5.0625
139,2008-05-19 00:00:00,,39.0625,5.0625
140,2008-05-20 00:00:00,18.639984,39.0625,5.0625
141,2008-05-21 00:00:00,18.419983,39.0625,5.0625
142,2008-05-22 00:00:00,19.130005,39.0625,5.0625
143,2008-05-23 00:00:00,,39.0625,5.0625
